experiment_event_id,experiment_id,user_id,exposure_date_id,variant,conversion_flag
927,2,36,20240206,treatment,0
928,1,34,20240205,treatment,1
929,2,183,20240216,control,1
930,1,91,20240109,treatment,1
931,1,106,20240207,control,0
932,1,105,20240323,control,0
933,2,102,20240312,treatment,0
934,1,147,20240117,control,0
935,2,20,20240211,control,1
936,2,44,20240213,control,1
937,2,165,20240203,treatment,1
938,2,89,20240205,treatment,0
939,2,96,20240209,control,0
940,1,56,20240207,control,0
941,2,65,20240323,control,0
942,2,102,20240317,treatment,0
943,1,16,20240123,treatment,1
944,2,99,20240313,treatment,1
945,2,134,20240306,treatment,1
946,2,169,20240310,control,0
947,1,41,20240217,treatment,0
948,2,110,20240106,treatment,0
949,1,30,20240130,treatment,1
950,1,139,20240114,treatment,0
951,1,94,20240206,control,1
952,1,165,20240308,control,0
953,1,95,20240121,control,1
954,2,110,20240111,treatment,0
955,1,159,20240307,treatment,1
956,2,75,20240329,treatment,0
957,2,4,20240115,control,0
958,2,174,20240317,treatment,0
959,1,180,20240227,control,0
960,1,46,20240105,treatment,0
961,2,155,20240314,control,0
962,2,198,20240330,treatment,0
963,1,114,20240303,treatment,0
964,1,82,20240103,treatment,1
965,2,63,20240222,treatment,1
966,2,157,20240203,control,0
967,1,197,20240211,control,0
968,1,30,20240318,treatment,1
969,2,1,20240208,treatment,0
970,2,167,20240114,control,1
971,1,82,20240115,treatment,1
972,1,195,20240126,control,0
973,2,194,20240206,control,0
974,2,169,20240314,control,0
975,2,2,20240211,control,0
976,1,102,20240110,control,1
977,1,133,20240314,treatment,1
978,2,21,20240310,treatment,1
979,1,89,20240124,treatment,0
980,2,66,20240301,treatment,1
981,1,51,20240123,control,0
982,1,200,20240307,control,1
983,1,135,20240324,control,0
984,2,47,20240310,treatment,1
985,2,106,20240209,control,0
986,1,115,20240314,control,0
987,2,5,20240312,treatment,1
988,2,65,20240209,control,1
989,1,31,20240223,treatment,0
990,1,115,20240122,treatment,1
991,2,19,20240302,treatment,1
992,1,129,20240331,control,0
993,2,117,20240318,control,0
994,2,85,20240308,control,1
995,2,168,20240314,control,1
996,2,92,20240308,treatment,1
997,2,48,20240212,control,0
998,2,131,20240206,control,0
999,1,31,20240215,control,1
1000,2,63,20240205,treatment,0
1001,2,36,20240130,control,1
1002,2,96,20240327,treatment,0
1003,1,69,20240113,control,0
1004,1,20,20240212,treatment,1
1005,2,130,20240203,treatment,1
1006,2,116,20240116,control,0
1007,1,69,20240123,control,0
1008,2,7,20240124,control,0
1009,2,72,20240222,control,1
1010,2,156,20240302,control,1
1011,1,74,20240301,control,1
1012,2,114,20240122,control,1
1013,2,93,20240226,control,1
1014,2,41,20240327,treatment,1
1015,2,43,20240325,treatment,1
1016,2,167,20240212,treatment,1
1017,1,137,20240213,control,0
1018,2,75,20240203,control,0
1019,1,95,20240323,control,0
1020,1,180,20240122,control,1
1021,1,22,20240114,treatment,0
1022,1,154,20240115,treatment,0
1023,2,70,20240213,control,1
1024,1,174,20240103,control,0
1025,1,160,20240101,control,0
1026,1,55,20240111,treatment,0
1027,2,84,20240327,treatment,1
1028,2,185,20240217,treatment,0
1029,2,163,20240308,control,1
1030,1,30,20240321,control,1
1031,1,61,20240303,treatment,0
1032,1,24,20240302,control,0
1033,1,88,20240304,treatment,0
1034,1,24,20240116,control,0
1035,1,170,20240125,control,0
1036,1,67,20240227,control,0
1037,2,83,20240123,control,0
1038,2,142,20240125,treatment,0
1039,2,135,20240212,control,0
1040,1,137,20240308,control,0
1041,1,81,20240214,control,0
1042,2,199,20240313,control,1
1043,1,124,20240214,treatment,0
1044,1,27,20240215,control,0
1045,1,62,20240115,treatment,1
1046,2,89,20240218,control,0
1047,1,166,20240202,control,1
1048,2,77,20240214,treatment,0
1049,2,112,20240318,control,1
1050,2,66,20240117,control,0
1051,1,9,20240229,treatment,1
1052,2,137,20240118,control,0
1053,1,167,20240320,control,0
1054,1,42,20240108,control,0
1055,1,198,20240229,control,0
1056,2,46,20240325,treatment,1
1057,1,153,20240224,control,1
1058,2,22,20240228,control,1
1059,1,139,20240207,treatment,1
1060,2,97,20240331,control,1
1061,2,110,20240324,control,1
1062,1,147,20240221,treatment,1
1063,1,103,20240316,treatment,0
1064,2,154,20240120,treatment,0
1065,1,84,20240331,control,1
1066,1,152,20240326,control,0
1067,2,71,20240216,control,1
1068,1,145,20240125,control,1
1069,1,120,20240201,control,1
1070,1,9,20240111,control,1
1071,2,53,20240326,treatment,0
1072,1,136,20240325,treatment,1
1073,2,105,20240320,treatment,0
1074,2,82,20240323,treatment,0
1075,1,67,20240322,treatment,1
1076,2,65,20240320,treatment,1
1077,2,6,20240109,treatment,1
1078,1,74,20240329,treatment,1
1079,1,37,20240225,treatment,0
1080,1,52,20240103,treatment,1
1081,2,144,20240226,control,0
1082,1,162,20240310,control,0
1083,1,181,20240109,treatment,1
1084,2,175,20240226,treatment,1
1085,1,49,20240116,control,0
1086,2,52,20240114,treatment,0
1087,1,57,20240123,treatment,0
1088,2,45,20240209,treatment,0
1089,2,144,20240301,control,0
1090,2,114,20240218,control,0
1091,1,147,20240106,treatment,0
1092,1,65,20240312,treatment,1
1093,1,54,20240131,control,0
1094,2,200,20240225,control,0
1095,1,54,20240125,control,0
1096,2,187,20240119,treatment,0
1097,1,67,20240317,control,1
1098,1,170,20240115,treatment,0
1099,1,2,20240120,treatment,1
1100,2,56,20240102,control,0
1101,1,55,20240108,control,1
1102,2,149,20240204,treatment,0
1103,2,79,20240312,treatment,1
1104,1,78,20240119,control,1
1105,1,160,20240306,control,0
1106,2,91,20240204,control,0
1107,1,172,20240208,treatment,1
1108,1,110,20240218,control,1
1109,1,68,20240321,control,1
1110,1,200,20240324,treatment,1
1111,2,14,20240311,control,1
1112,1,125,20240122,control,0
1113,2,83,20240128,treatment,1
1114,2,87,20240214,control,1
1115,2,103,20240210,treatment,0
1116,1,198,20240316,treatment,0
1117,1,115,20240108,treatment,1
1118,2,21,20240131,treatment,1
1119,1,168,20240107,control,1
1120,2,196,20240102,control,1
1121,2,78,20240323,control,0
1122,2,143,20240219,control,1
1123,2,148,20240125,control,0
1124,2,172,20240213,treatment,1
1125,2,39,20240111,treatment,1
1126,2,123,20240301,control,0
1127,1,145,20240303,control,0
1128,1,113,20240312,treatment,1
1129,1,8,20240315,treatment,0
1130,1,48,20240324,control,0
1131,1,99,20240116,treatment,1
1132,1,124,20240320,control,1
1133,2,161,20240314,treatment,0
1134,2,106,20240206,control,0
1135,1,85,20240227,control,1
1136,1,186,20240228,treatment,0
1137,1,57,20240312,control,0
1138,2,163,20240127,control,0
1139,1,82,20240222,control,1
1140,1,197,20240120,treatment,0
1141,2,138,20240229,control,0
1142,1,175,20240122,control,0
1143,1,106,20240307,control,1
1144,1,114,20240331,control,0
1145,1,143,20240216,control,1
1146,2,77,20240311,treatment,1
1147,2,129,20240208,control,0
1148,2,59,20240316,control,0
1149,2,161,20240112,control,1
1150,2,103,20240127,treatment,0
1151,2,11,20240206,treatment,0
1152,2,167,20240124,control,1
1153,1,191,20240112,treatment,0
1154,2,166,20240216,treatment,0
1155,1,119,20240118,control,0
1156,1,11,20240321,control,0
1157,1,98,20240218,control,0
1158,2,92,20240222,treatment,0
1159,2,41,20240327,treatment,1
1160,2,138,20240201,treatment,0
1161,1,26,20240311,treatment,0
1162,2,31,20240122,treatment,1
1163,2,184,20240104,control,1
1164,2,61,20240103,control,0
1165,2,116,20240309,treatment,0
1166,2,150,20240329,control,0
1167,1,95,20240326,treatment,0
1168,1,27,20240217,treatment,1
1169,1,190,20240121,treatment,0
1170,2,25,20240317,control,1
1171,1,172,20240120,control,0
1172,1,152,20240302,control,0
1173,2,6,20240205,control,0
1174,2,175,20240315,treatment,0
1175,1,144,20240304,treatment,1
1176,2,97,20240117,treatment,1
1177,1,77,20240228,control,1
1178,2,74,20240103,control,0
1179,1,21,20240308,control,1
1180,2,103,20240217,treatment,1
1181,2,48,20240101,treatment,0
1182,1,185,20240229,treatment,0
1183,1,2,20240211,treatment,0
1184,1,189,20240304,treatment,0
1185,1,44,20240323,control,0
1186,2,139,20240323,treatment,1
1187,1,78,20240104,treatment,1
1188,1,185,20240203,treatment,1
1189,1,57,20240301,control,1
1190,1,66,20240108,treatment,0
1191,1,13,20240330,treatment,1
1192,1,11,20240213,control,0
1193,2,11,20240214,treatment,1
1194,2,179,20240304,treatment,1
1195,2,178,20240326,treatment,1
1196,1,109,20240105,treatment,1
1197,1,170,20240317,control,1
1198,1,106,20240126,control,0
1199,2,68,20240111,treatment,0
1200,1,108,20240329,treatment,0
